Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_39,115.36,18.87,0
Machine_29,50.53,13.79,0
Machine_15,65.77,13.6,0
Machine_43,75.57,9.39,0
Machine_8,84.15,12.03,1
Machine_21,109.56,9.53,0
Machine_39,56.15,12.95,0
Machine_19,106.41,15.07,1
Machine_23,53.9,16.18,0
Machine_11,108.96,12.78,0
Machine_11,53.61,17.31,0
Machine_24,51.28,3.39,0
Machine_36,98.79,5.09,0
Machine_40,119.81,19.65,0
Machine_24,112.76,7.74,0
Machine_3,90.32,0.55,1
Machine_22,114.22,3.69,0
Machine_2,50.37,5.37,0
Machine_24,118.25,22.98,0
Machine_44,84.35,13.75,0
Machine_30,100.6,22.39,0
Machine_38,107.46,13.8,1
Machine_2,100.29,11.5,1
Machine_21,87.45,7.53,0
Machine_33,83.36,14.55,1
Machine_12,108.7,3.34,0
Machine_22,64.36,21.56,0
Machine_44,117.76,19.9,0
Machine_25,99.77,7.62,1
Machine_49,63.97,22.87,0
Machine_27,101.54,19.8,0
Machine_42,87.09,15.99,1
Machine_28,99.51,2.92,0
Machine_16,103.74,11.48,0
Machine_15,56.11,12.15,0
Machine_47,85.43,5.58,0
Machine_44,115.24,1.92,0
Machine_3,72.44,18.64,0
Machine_37,91.57,2.93,0
Machine_7,75.85,14.26,1
Machine_21,81.8,22.47,0
Machine_9,88.4,21.03,0
Machine_39,88.42,6.67,0
Machine_18,64.12,20.43,0
Machine_4,97.92,0.01,0
Machine_25,56.15,0.42,0
Machine_14,59.72,14.46,0
Machine_50,50.19,8.76,0
Machine_9,58.17,9.28,0
Machine_26,83.12,13.55,0
Machine_2,92.43,4.6,0
Machine_20,105.6,5.08,0
Machine_28,57.47,11.63,0
Machine_47,109.55,18.1,0
Machine_7,102.22,14.87,0
Machine_44,78.6,7.14,1
Machine_8,115.31,10.33,0
Machine_47,119.37,4.1,0
Machine_35,64.35,1.79,1
Machine_14,76.55,18.78,0
Machine_17,114.85,6.37,0
Machine_36,100.51,4.27,0
Machine_50,53.37,16.6,0
Machine_40,104.71,14.83,1
Machine_4,107.96,15.2,0
Machine_2,102.54,5.49,1
Machine_6,105.97,5.58,0
Machine_42,107.76,5.3,0
Machine_4,63.05,4.17,0
Machine_29,66.5,15.74,0
Machine_18,94.36,20.35,0
Machine_26,113.55,17.38,1
Machine_44,72.13,19.01,0
Machine_34,91.18,9.72,0
Machine_10,97.81,15.7,0
Machine_36,81.64,8.5,0
Machine_14,99.96,12.61,0
Machine_31,112.98,11.56,0
Machine_48,93.69,4.25,0
Machine_15,87.78,9.29,0
Machine_8,80.71,23.13,0
Machine_14,90.42,5.97,1
Machine_23,74.88,3.21,1
Machine_40,77.4,10.05,0
Machine_21,87.23,18.97,0
Machine_16,54.66,13.97,1
Machine_45,66.03,16.34,0
Machine_18,88.0,4.55,1
Machine_47,80.21,14.85,0
Machine_24,73.3,7.76,0
Machine_26,101.14,20.02,1
Machine_25,98.56,15.1,1
Machine_45,61.67,4.77,0
Machine_41,111.5,1.55,0
Machine_29,84.68,1.02,0
Machine_15,101.9,8.91,0
Machine_45,90.12,6.38,0
Machine_1,119.84,15.51,0
Machine_25,102.67,11.98,1
Machine_7,99.49,6.38,0
Machine_9,104.5,3.58,0
Machine_24,60.02,3.05,0
Machine_1,64.32,20.75,0
Machine_44,99.98,5.84,0
Machine_8,84.58,15.64,0
Machine_24,102.82,19.46,0
Machine_11,57.2,14.74,1
Machine_17,87.55,20.63,1
Machine_8,76.52,9.42,0
Machine_35,81.99,22.95,1
Machine_35,92.28,3.2,0
Machine_33,85.16,2.45,0
Machine_5,87.79,15.81,0
Machine_42,84.05,22.63,0
Machine_39,78.63,19.41,0
Machine_41,104.03,1.83,1
Machine_28,50.85,6.7,0
Machine_7,91.89,22.33,1
Machine_9,89.59,6.07,0
Machine_8,100.13,18.75,0
Machine_12,91.93,19.8,1
Machine_34,107.88,11.89,0
Machine_33,117.14,9.27,0
Machine_48,73.98,10.8,0
Machine_23,65.91,5.45,0
Machine_24,79.65,21.35,0
Machine_37,70.16,10.81,0
Machine_35,93.05,21.18,0
Machine_44,113.83,2.54,1
Machine_40,59.74,23.72,0
Machine_22,57.06,10.64,0
Machine_27,67.92,1.15,0
Machine_35,100.83,0.91,1
Machine_1,91.51,17.91,0
Machine_35,57.15,15.82,0
Machine_37,114.31,19.25,0
Machine_47,105.31,2.53,0
Machine_14,51.61,0.85,1
Machine_3,95.6,12.21,0
Machine_1,103.99,9.3,0
Machine_5,76.21,11.09,0
Machine_26,54.82,23.8,0
Machine_14,55.41,23.3,1
Machine_39,57.3,22.62,1
Machine_27,108.83,18.81,0
Machine_9,113.75,8.52,1
Machine_15,58.6,9.89,0
Machine_15,66.51,13.19,0
Machine_26,61.59,19.93,0
Machine_42,63.04,1.65,0
Machine_13,108.62,10.18,0
Machine_32,73.25,1.98,1
Machine_39,71.8,12.35,0
Machine_49,65.92,21.57,1
Machine_32,92.55,18.78,0
Machine_4,76.55,5.47,1
Machine_30,102.1,23.42,0
Machine_37,64.39,16.02,0
Machine_23,105.15,0.25,0
Machine_39,92.26,6.13,1
Machine_45,58.0,6.26,0
Machine_15,79.02,1.66,1
Machine_43,110.45,23.04,0
Machine_29,114.61,11.48,0
Machine_36,82.6,21.5,1
Machine_13,83.66,7.73,0
Machine_32,114.29,3.01,0
Machine_7,91.09,11.38,0
Machine_22,52.3,2.73,1
Machine_28,113.89,11.66,0
Machine_2,67.38,22.09,1
Machine_42,90.43,12.5,0
Machine_45,61.59,14.8,1
Machine_6,52.37,3.76,1
Machine_28,71.8,1.05,0
Machine_28,104.63,2.66,0
Machine_44,69.43,14.36,0
Machine_44,65.41,2.28,0
Machine_20,64.89,9.02,0
Machine_30,86.06,13.2,0
Machine_11,118.29,9.33,0
Machine_28,82.13,3.93,0
Machine_25,89.01,6.57,0
Machine_39,110.24,22.28,0
Machine_33,87.45,16.22,1
Machine_1,62.91,11.91,0
Machine_27,70.97,0.31,0
Machine_13,71.7,23.82,0
Machine_41,77.81,16.11,1
Machine_3,79.88,7.61,1
Machine_39,105.98,21.1,1
Machine_6,74.46,6.2,1
Machine_8,82.78,13.06,0
Machine_27,93.75,15.27,1
Machine_9,76.44,5.31,0
Machine_37,108.56,23.48,0
Machine_33,91.12,17.96,1
Machine_42,70.58,13.39,0
Machine_44,99.98,4.33,0
Machine_24,86.94,1.29,0
Machine_15,87.41,7.68,0
Machine_32,83.68,18.08,0
Machine_32,84.79,6.46,0
Machine_24,103.57,12.95,0
Machine_41,57.21,17.47,0
Machine_49,73.41,2.59,1
Machine_49,55.29,16.45,0
Machine_12,102.73,2.2,0
Machine_39,69.06,23.16,1
Machine_2,112.82,11.72,1
Machine_3,86.86,3.62,0
Machine_49,106.05,8.22,0
Machine_37,118.53,9.92,1
Machine_49,108.79,18.2,1
Machine_17,110.69,17.84,0
Machine_49,78.56,14.69,0
Machine_2,88.62,2.54,0
Machine_2,67.77,3.64,0
Machine_28,63.73,2.25,0
Machine_23,85.39,13.85,0
Machine_37,91.65,21.05,0
Machine_32,73.75,10.41,0
Machine_33,89.86,3.86,0
Machine_1,112.12,13.39,1
Machine_19,88.97,19.48,0
Machine_2,100.46,17.8,0
Machine_44,106.37,21.15,1
Machine_26,119.21,6.67,0
Machine_32,92.22,4.65,0
Machine_6,106.48,21.12,0
Machine_32,117.39,15.78,0
Machine_4,116.11,7.46,1
Machine_11,59.88,17.82,0
Machine_17,78.45,19.56,0
Machine_38,72.68,14.76,0
Machine_24,56.08,16.51,0
Machine_5,94.33,9.01,1
Machine_34,101.51,12.93,0
Machine_6,109.37,12.58,0
Machine_22,58.59,20.35,0
Machine_11,111.35,20.16,0
Machine_48,95.0,19.98,0
Machine_16,99.28,0.26,0
Machine_33,113.74,17.99,0
Machine_9,93.73,18.21,0
Machine_6,73.51,16.28,0
Machine_16,107.76,18.15,0
Machine_29,75.41,20.21,0
Machine_3,52.4,11.29,1
Machine_20,108.15,12.05,0
Machine_36,74.16,2.99,0
Machine_19,104.17,9.25,0
Machine_26,75.39,15.44,0
Machine_3,110.27,18.73,0
Machine_19,65.37,5.21,0
Machine_20,118.22,3.31,0
Machine_32,104.58,15.91,0
Machine_7,58.0,0.05,1
Machine_41,89.6,4.28,1
Machine_33,118.98,0.7,0
Machine_40,82.97,4.01,0
Machine_39,62.75,4.35,0
Machine_18,83.93,9.3,0
Machine_40,85.87,9.66,1
Machine_1,101.92,20.98,0
Machine_11,98.92,12.24,0
Machine_28,78.18,17.36,0
Machine_25,65.26,2.5,0
Machine_50,95.15,5.41,0
Machine_23,79.52,16.87,0
Machine_31,59.26,1.27,0
Machine_30,113.04,11.68,0
Machine_42,98.39,14.38,0
Machine_35,97.82,14.45,0
Machine_7,107.58,0.55,0
Machine_16,87.08,7.73,0
Machine_26,107.05,15.28,0
Machine_48,84.87,3.58,0
Machine_49,54.7,16.69,0
Machine_2,78.37,17.9,1
Machine_1,84.82,23.57,0
Machine_48,100.41,5.04,0
Machine_12,57.46,19.8,0
Machine_5,59.8,12.49,0
Machine_37,68.46,8.96,0
Machine_32,68.65,2.94,0
Machine_9,101.25,17.65,1
Machine_41,67.55,5.66,0
Machine_35,94.32,8.91,0
Machine_19,84.6,1.5,0
Machine_48,90.13,19.23,0
Machine_16,108.67,18.4,1
Machine_3,78.31,17.61,0
Machine_20,103.96,7.19,0
Machine_24,79.54,4.16,1
Machine_33,74.77,15.3,0
Machine_24,117.1,11.91,0
Machine_11,62.91,4.28,0
Machine_49,56.32,16.46,0
Machine_8,103.97,23.79,0
Machine_36,54.78,17.93,0
Machine_38,108.6,17.76,0
Machine_40,80.6,22.81,0
Machine_20,114.09,4.87,0
Machine_35,100.51,13.57,0
Machine_48,92.73,23.51,0
Machine_25,116.45,3.97,0
Machine_35,77.77,16.81,0
Machine_25,116.79,14.06,0
Machine_29,59.45,14.08,0
Machine_18,83.86,16.74,0
Machine_46,68.89,22.31,1
Machine_18,87.79,18.78,0
Machine_2,61.34,1.35,0
Machine_35,108.91,20.47,0
Machine_16,109.25,5.41,0
Machine_41,116.87,9.05,0
Machine_36,60.83,11.08,1
Machine_33,93.63,11.54,0
Machine_4,83.2,10.44,0
Machine_33,74.11,22.5,0
Machine_14,74.61,16.94,0
Machine_21,78.9,15.15,0
Machine_48,99.34,1.2,0
Machine_20,91.88,21.69,0
Machine_8,82.18,21.83,0
Machine_7,55.32,18.73,0
Machine_3,55.44,0.17,0
Machine_17,50.16,1.37,1
Machine_33,117.74,5.41,0
Machine_48,50.37,3.15,1
Machine_12,57.22,9.57,0
Machine_22,72.02,22.14,1
Machine_22,106.52,11.33,1
Machine_46,117.35,0.32,0
Machine_30,105.3,6.79,0
Machine_38,98.34,1.07,0
Machine_38,86.49,0.87,1
Machine_45,56.07,6.62,0
Machine_8,117.07,6.61,0
Machine_27,103.09,18.89,0
Machine_27,94.73,23.4,1
Machine_34,103.13,8.91,1
Machine_21,100.69,10.29,1
Machine_30,94.61,20.27,0
Machine_33,118.64,6.44,0
Machine_28,113.24,3.75,0
Machine_47,95.27,20.47,0
Machine_33,98.52,1.12,0
Machine_5,53.61,14.87,0
Machine_48,96.89,13.49,0
Machine_19,53.09,8.3,0
Machine_4,91.18,7.56,1
Machine_35,119.95,18.52,0
Machine_49,88.91,2.07,1
Machine_17,83.12,5.68,0
Machine_44,71.9,17.58,0
Machine_28,58.44,13.16,0
Machine_30,101.17,3.07,0
Machine_29,63.48,21.17,0
Machine_46,58.07,9.44,0
Machine_6,79.52,19.87,0
Machine_35,105.67,18.91,0
Machine_41,102.15,14.99,0
Machine_37,53.84,11.87,1
Machine_24,81.86,23.51,0
Machine_29,86.57,3.48,0
Machine_49,95.12,17.4,0
Machine_46,95.51,4.59,0
Machine_31,75.53,8.12,0
Machine_35,89.25,7.41,0
Machine_33,83.67,22.73,1
Machine_21,111.95,23.22,0
Machine_32,87.12,4.39,1
Machine_23,80.87,0.53,1
Machine_33,78.31,17.28,0
Machine_3,90.07,10.03,0
Machine_18,106.28,2.13,1
Machine_25,87.69,16.41,0
Machine_42,96.32,13.08,0
Machine_31,101.65,23.53,1
Machine_3,86.41,5.46,0
Machine_40,79.88,9.7,0
Machine_46,111.37,13.02,0
Machine_24,79.23,19.0,0
Machine_50,82.34,13.17,0
Machine_32,119.32,14.71,0
Machine_47,50.02,5.43,0
Machine_22,62.98,20.33,0
Machine_23,76.88,10.29,0
Machine_2,115.28,3.38,0
Machine_27,54.9,15.94,0
Machine_42,50.66,5.19,0
Machine_2,53.69,2.34,0
Machine_26,56.2,20.69,0
Machine_17,52.63,11.04,0
Machine_40,83.58,17.98,1
Machine_33,90.65,6.97,0
Machine_9,69.02,18.89,0
Machine_43,77.88,2.69,0
Machine_48,56.42,8.54,0
Machine_39,73.55,23.47,0
Machine_29,86.58,19.06,0
Machine_42,101.26,11.93,0
Machine_26,50.23,8.15,0
Machine_35,82.71,20.93,0
Machine_50,70.79,13.08,0
Machine_25,109.7,18.2,0
Machine_24,100.09,18.1,0
Machine_13,91.24,0.43,0
Machine_7,69.41,3.03,0
Machine_36,113.72,15.83,0
Machine_45,53.16,3.88,0
Machine_20,57.66,6.13,0
Machine_1,77.41,22.72,0
Machine_8,58.71,13.44,0
Machine_46,116.95,18.02,0
Machine_16,105.86,13.39,0
Machine_14,68.13,13.26,1
Machine_12,91.2,2.26,0
Machine_23,118.76,8.25,0
Machine_15,111.89,6.78,0
Machine_28,92.06,9.38,0
Machine_34,113.26,19.16,0
Machine_2,119.24,8.93,0
Machine_32,102.03,10.84,0
Machine_23,54.55,9.54,1
Machine_22,78.11,2.24,0
Machine_25,108.65,10.59,1
Machine_22,66.14,4.69,0
Machine_22,108.14,4.48,0
Machine_49,58.42,2.26,0
Machine_42,53.29,8.56,0
Machine_6,76.89,18.18,0
Machine_15,52.57,6.63,0
Machine_43,117.01,7.5,0
Machine_37,107.83,15.42,0
Machine_33,106.05,4.7,0
Machine_8,94.08,21.53,1
Machine_44,65.14,12.48,0
Machine_44,86.28,10.74,1
Machine_5,91.81,13.39,1
Machine_39,86.75,3.98,1
Machine_4,68.22,14.72,0
Machine_6,86.07,8.71,0
Machine_45,84.38,21.53,1
Machine_32,119.74,4.05,0
Machine_30,112.82,12.17,0
Machine_47,82.44,14.35,0
Machine_35,93.61,0.8,0
Machine_40,102.35,8.73,0
Machine_16,52.44,17.58,0
Machine_13,112.64,19.69,1
